,name,type,year_built,gross_tonnage,deadweight,length(m),beam(m),detail_link,departure_date,last_port_country,last_port_name,arrival_date,destination_port_country,destination_port_name,destination_port_lat,destination_port_lon,reported_status,report_date
0,ATHINEA,Tanker,2006,60007,,248,43,,"Jun 27, 01:24 UTC (10 days ago)",Egypt,As Suways (Suez) Anch.,"Jul 5, 02:00",,RAS GHARIB,-,-,-,2025-07-07
1,ETC RAMSIS,Tanker,2003,59574,,245,41,,"Jun 29, 07:24 UTC (8 days ago)",Egypt,As Suways (Suez) Anch.,"Jul 3, 20:00",Egypt,Wadi Feiran,28.7591N, 33.2242E,-,2025-07-07
2,ALEXIA 3,-,1999,56841,,248.00,43.04,,-,-,-,-,-,-,-,-,-,2025-07-07
3,CHRIS,Tanker (HAZ-A),2004,49838,,239,42,,"Jul 6, 21:11 UTC (3 hours ago)",Egypt,As Suways (Suez) Anch.,"Jul 7, 09:00
(in 9 hours)",,ZET_BAY EG,-,-,Under way,2025-07-07
4,TAAWON 11,-,1982,643,,60.13,10.19,,-,-,-,-,-,-,-,-,-,2025-07-07
5,WADI ALMOLOUK,Cargo ship,2020,44732,,229,32,,"Jun 30, 21:54 UTC (6 days ago)",Taiwan,Taichung Anch.,"Jun 30, 22:42 UTC
ARRIVED",Taiwan,Taichung,24.2869N, 120.5066E,Moored,2025-07-07
6,WADI ALARISH,Cargo ship,2024,44560,,229,32,,"Jun 25, 21:13 UTC (11 days ago)",United Arab Emirates (UAE),Al Fujayrah Anch.,"Jul 22, 15:00
(in 16 days)",Brazil,Paranagua,25.4991S, 48.5188W,-,2025-07-07
7,WADI ALMALEKAT,Cargo ship,2017,44069,,229,33,,"Jul 2, 02:58 UTC (5 days ago)",Hong Kong,Hong Kong Anch.,"Jul 1, 16:00",,CNMCH,-,-,Under way,2025-07-07
8,WADI TIBA,Cargo ship,2011,43736,,229,32,,"Jul 2, 09:33 UTC (5 days ago)",Spain,Escombreras,"Jul 2, 04:00",Spain,Cartagena,37.592N, 0.9819W,Moored,2025-07-07
9,WADI ALKARM,Cargo ship,2011,43736,,229,32,,"Jul 4, 02:17 UTC (3 days ago)",Spain,Tarragona,"Jul 12, 18:00
(in 6 days)",Turkey,Zonguldak,41.4647N, 31.775E,Under way,2025-07-07
10,WADI SAFAGA,-,2010,43736,,228.90,32.29,,-,-,-,-,-,-,-,-,-,2025-07-07
11,WADI ALYARMOUK,Cargo ship,2010,43726,,229,32,,"Jun 28, 20:30 UTC (8 days ago)",Portugal,Banatica,"Jul 5, 09:56 UTC
ARRIVED",Italy,Ravenna Anch.,44.4777N, 12.2604E,At anchor,2025-07-07
