,name,url,type,year_built,gross_tonnage,deadweight,length(m),beam(m),detail_link,departure_date,last_port_country,last_port_name,arrival_date,destination_port_country,destination_port_name,destination_port_lat,destination_port_lon,reported_status,report_date
0,ATHINEA,/vessels/details/9291248,Tanker,2006,60007,107160,248,43,,"Jul 12, 02:22 UTC (2 days ago)",Egypt,As Suways (Suez) Anch.,"Jul 12, 04:00",,RAS SADAT EG,-,-,At anchor,2025-07-13
1,ETC RAMSIS,/vessels/details/9260809,Tanker,2003,59574,110673,246,42,,"Jul 12, 00:58 UTC (2 days ago)",Egypt,Ain Sukhna Anch.,"Jul 12, 01:29 UTC
ARRIVED",Egypt,Ain Sukhna Oil Field Term.,29.5799N, 32.3886E,-,2025-07-13
2,ALEXIA 3,/vessels/details/9173721,-,1999,56841,105570,248,43,,-,-,-,-,-,-,-,-,-,2025-07-13
3,CHRIS,/vessels/details/9304643,Tanker (HAZ-A),2004,49838,105778,239,42,,"Jul 12, 08:24 UTC (1 day ago)",Egypt,As Suways (Suez) Anch.,"Jul 13, 13:30",,RAS GHARIB\EGY,-,-,Under way,2025-07-13
4,AL NABILA 6,/vessels/details/9236987,Tanker (HAZ-A),2003,22184,34810,171,27,,"Jul 11, 03:45 UTC (3 days ago)",Egypt,Alexandria Anch.,"Jul 11, 05:00",,ALEXADRIA/EGY,-,-,-,2025-07-13
5,NAGDA1,/vessels/details/8215364,Other type,1984,2042,3220,87,16,,"Mar 2, 12:01 UTC (133 days ago)",Egypt,Ismailia Anch.,-,,Destination not available,-,-,-,2025-07-13
6,NAGDA 2,/vessels/details/8215376,-,1984,2042,3220,88,16,,-,-,-,-,-,-,-,-,-,2025-07-13
7,CPC VI,/vessels/details/9758181,Tanker,2015,1581,2397,74,12,,"Jul 12, 10:14 UTC (1 day ago)",Egypt,Port Tewfik,-,,Destination not available,-,-,Under way,2025-07-13
8,CPC IV,/vessels/details/9919606,Tanker,2021,1129,1681,67,12,,"Jul 2, 09:56 UTC (11 days ago)",Egypt,Alexandria,-,,Destination not available,-,-,-,2025-07-13
9,CPC II,/vessels/details/9659907,Tanker,2012,1049,1601,66,12,,"May 24, 14:21 UTC (50 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-13
10,CPC I,/vessels/details/9620267,Tanker,2012,1049,1601,66,12,,"Jul 11, 11:00 UTC (2 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-13
11,MISR 1,/vessels/details/9763368,Tanker,2015,1021,1754,68,11,,"Jul 11, 10:41 UTC (2 days ago)",Egypt,Port Tewfik,"Oct 3, 20:59
(in 82 days)",,IN-ORDER,-,-,Moored,2025-07-13
12,NISR 3,/vessels/details/7821233,-,1980,687,965,57,10,,-,-,-,-,-,-,-,-,-,2025-07-13
13,EMDAD 1,/vessels/details/9672076,Tanker,2019,500,900,48,9,,"Jul 9, 15:20 UTC (4 days ago)",Egypt,Port Said,-,,Destination not available,-,-,-,2025-07-13
14,CPCIII,/vessels/details/9653355,-,2013,499,810,50,10,,-,-,-,-,-,-,-,-,-,2025-07-13
15,HEBAT ALLAH 1,/vessels/details/8518132,-,1985,494,700,45,8,,-,-,-,-,-,-,-,-,-,2025-07-13
16,GIGI,/vessels/details/622123102,-,-,-,-,39,6,,-,-,-,-,-,-,-,-,-,2025-07-13
17,MISR 2,/vessels/details/622123410,Tanker,-,-,-,68,11,,"Jun 23, 20:39 UTC (20 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-13
18,MISR 3,/vessels/details/622123411,Tanker,-,-,-,68,11,,"Jun 23, 01:41 UTC (21 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-13
19,REDA MEN ALLAH,/vessels/details/622104701,Tanker,-,-,-,26,6,,"Jul 9, 12:11 UTC (4 days ago)",Egypt,Port Said Anch.,-,,Destination not available,-,-,-,2025-07-13
20,SEA STAR PORT SAID,/vessels/details/622108203,-,-,-,-,19,6,,-,-,-,-,-,-,-,-,-,2025-07-13
21,FEKRY,/vessels/details/7928328,-,1982,260,300,43,8,,-,-,-,-,-,-,-,-,-,2025-07-13
22,SOHEIR,/vessels/details/6522000,-,1965,905,1583,69,10,,-,-,-,-,-,-,-,-,-,2025-07-13
23,TANKER 231,/vessels/details/7928548,-,1986,300,400,43,8,,-,-,-,-,-,-,-,-,-,2025-07-13
24,NISR 4,/vessels/details/7821245,-,1980,678,965,57,10,,-,-,-,-,-,-,-,-,-,2025-07-13
25,NOUR 1,/vessels/details/622102400,Tanker,-,-,-,43,9,,"Jun 25, 15:12 UTC (18 days ago)",Egypt,Port Said,-,,Destination not available,-,-,-,2025-07-13
26,MISR 3,/vessels/details/9871684,-,2019,998,1750,68,11,,-,-,-,-,-,-,-,-,-,2025-07-13
27,HEFILA,/vessels/details/8659053,-,2012,192,370,33,6,,-,-,-,-,-,-,-,-,-,2025-07-13
28,ALEX STAR,/vessels/details/8999582,-,1999,311,297,37,8,,-,-,-,-,-,-,-,-,-,2025-07-13
29,SALWA,/vessels/details/6501587,-,1965,638,1260,71,10,,-,-,-,-,-,-,-,-,-,2025-07-13
30,UNISHIP I,/vessels/details/5419103,-,1963,217,284,35,8,,-,-,-,-,-,-,-,-,-,2025-07-13
31,NADA 2,/vessels/details/7720386,-,1978,1003,1345,65,10,,-,-,-,-,-,-,-,-,-,2025-07-13
32,AL NIL,/vessels/details/7630971,-,1978,350,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-13
